month,humidity,temperature,pressure,wind_speed,rainfall
5,58.12,11.02,1015.11,8.09,107.64
8,56.59,26.32,1018.41,33.7,143.37
6,81.91,27.04,996.99,7.86,187.4
11,72.02,16.84,1015.47,6.59,177.3
11,39.15,19.42,1024.18,28.4,130.92
2,40.35,15.53,994.16,8.7,117.1
2,44.04,41.42,993.68,23.87,123.51
6,76.22,12.32,1025.3,25.96,127.51
12,70.68,33.66,992.42,4.64,176.39
6,69.6,13.53,992.09,23.68,164.62
3,88.31,15.26,995.29,12.47,184.44
3,65.72,38.36,1021.52,2.39,101.77
9,89.24,38.86,990.63,30.17,197.79
4,42.48,36.98,1017.23,27.94,113.06
5,30.13,17.97,998.47,26.72,110.78
2,33.15,25.98,1010.12,27.24,133.96
7,78.93,37.41,999.03,6.83,168.6
8,78.18,13.17,1003.79,24.75,155.13
12,55.05,36.38,991.51,3.61,144.68
3,50.35,21.85,995.28,24.35,165.39
11,85.14,11.77,993.08,19.43,204.76
2,30.97,33.82,1010.53,34.61,120.72
3,52.86,26.43,1004.5,34.36,181.3
12,63.14,23.32,994.28,16.1,169.99
11,87.06,24.74,1027.43,30.06,192.81
12,52.5,26.75,1018.24,4.96,105.36
5,41.27,28.34,1018.72,31.45,126.79
1,40.46,13.71,995.24,19.58,145.87
9,61.21,17.7,1024.11,6.42,139.57
10,41.12,26.88,1018.25,19.77,125.52
4,32.05,13.21,1029.38,17.22,96.03
9,66.34,34.4,999.75,26.85,187.03
3,61.08,14.36,1009.0,27.14,156.18
3,86.32,37.72,1008.79,24.81,171.95
6,56.49,28.39,1015.56,6.71,124.43
3,85.51,24.44,991.38,12.98,211.92
12,92.0,33.16,1012.84,6.3,172.06
8,88.8,18.23,1019.35,25.27,200.95
3,64.03,30.53,1026.7,22.69,133.41
7,63.76,37.87,999.11,32.94,201.01
12,66.87,27.92,1011.05,20.81,169.18
10,68.16,34.7,1004.69,5.21,162.45
3,39.79,21.1,996.56,26.3,146.9
2,69.06,22.3,1013.75,32.29,168.93
11,80.16,31.29,1006.23,34.05,184.5
9,33.99,31.93,992.59,2.11,122.17
10,48.69,36.91,1000.9,12.34,110.18
12,92.06,13.86,1018.28,12.16,189.15
3,70.78,28.6,1002.97,9.19,165.27
1,83.86,25.98,1001.33,8.24,179.53
11,78.7,41.23,1004.87,5.77,155.07
4,32.42,25.49,1025.24,28.85,108.78
4,57.07,16.31,1016.78,3.34,133.31
1,89.63,27.45,1005.04,17.96,204.8
6,65.36,36.86,992.51,33.21,146.33
6,54.63,29.0,1026.63,17.71,127.91
7,37.66,34.86,1014.84,13.17,109.78
10,36.22,30.92,999.75,23.83,119.93
2,75.24,10.93,1006.92,2.47,160.72
2,86.49,24.58,999.85,20.65,249.71
11,51.37,21.71,1025.7,30.31,130.3
4,35.13,38.95,995.73,7.77,123.21
4,89.48,19.45,1005.76,3.21,229.7
8,94.99,16.75,1028.32,12.91,195.94
8,76.45,33.92,1019.94,25.52,195.79
3,43.04,26.66,1024.9,5.24,122.39
12,48.58,21.33,1006.11,18.47,136.85
11,37.01,37.13,999.23,22.2,118.38
3,47.77,30.44,1021.09,6.57,111.39
7,46.45,17.62,997.08,29.5,143.97
1,51.04,40.39,991.96,17.12,146.27
3,68.88,38.15,1018.04,34.0,166.2
10,73.02,34.64,1015.71,21.46,177.35
8,37.29,32.06,1004.2,20.66,127.54
4,93.81,22.72,1027.27,4.06,177.62
11,45.33,13.97,1012.43,30.48,119.67
12,36.24,25.77,1009.68,20.97,155.83
7,45.11,16.92,1004.45,13.11,137.24
3,69.31,24.29,1027.03,23.11,136.89
12,36.99,35.75,1004.01,4.3,105.44
7,93.37,18.16,991.58,10.7,209.66
9,76.29,23.56,1010.53,6.14,168.14
6,54.82,24.84,1012.54,31.21,150.15
11,35.57,39.31,1015.91,8.17,99.25
3,69.38,29.69,1022.99,17.08,143.84
10,79.02,10.19,997.55,23.78,192.38
7,86.82,28.57,1012.53,19.26,205.81
6,45.79,35.8,1026.62,12.92,111.53
3,89.44,15.93,1005.55,31.25,209.37
11,76.32,40.38,1019.55,29.86,181.38
9,90.74,15.92,1017.23,25.79,142.04
3,85.09,35.66,995.77,4.7,158.71
6,82.43,32.03,1013.13,8.47,166.7
6,75.21,20.74,1026.17,31.72,171.83
2,77.61,34.96,1022.02,4.55,175.36
11,45.41,19.91,1005.01,27.14,158.36
3,78.87,27.25,1005.38,30.62,219.38
11,62.28,23.92,1015.67,14.92,146.43
10,64.9,22.56,1000.84,25.66,190.04
8,56.64,12.15,993.9,8.38,137.92
8,83.04,32.3,1001.67,15.8,214.2
8,85.67,21.1,1009.3,3.56,184.6
2,93.04,26.54,1025.79,10.79,175.61
1,73.57,28.92,1029.81,20.46,170.38
12,76.32,14.4,1028.15,26.54,175.92
11,41.83,15.52,1026.02,11.77,103.08
8,78.94,36.9,1029.88,21.59,152.21
6,57.61,27.36,996.41,4.18,144.8
12,34.09,24.63,990.2,13.2,121.97
6,56.02,14.41,1022.01,25.12,125.12
6,69.98,32.27,1020.3,7.33,153.59
3,77.98,25.76,993.78,4.78,200.6
12,94.71,10.48,1011.51,18.87,183.12
5,83.8,27.26,1024.93,18.55,196.39
11,49.12,26.37,991.96,26.75,128.74
3,56.52,19.9,1003.42,26.96,154.3
8,86.36,38.83,1025.33,22.78,174.29
11,47.92,16.06,1014.56,33.63,113.06
5,53.76,24.82,1019.81,30.54,165.76
6,63.25,39.85,1006.8,10.35,127.8
9,72.33,27.59,1026.62,33.3,199.9
5,45.13,37.0,1021.91,24.62,117.68
12,52.26,39.53,1005.3,25.95,120.8
4,41.7,21.83,1028.6,8.71,135.14
8,85.71,15.26,991.89,33.91,208.72
9,50.43,11.12,1018.79,29.82,136.94
4,79.18,11.26,996.66,4.38,180.23
3,92.06,40.61,1020.52,11.66,187.6
12,69.75,27.78,1023.25,15.04,138.25
8,39.23,22.2,1002.86,2.4,124.48
5,54.23,24.84,1000.19,9.94,152.55
1,69.27,12.28,1007.09,2.69,143.84
7,56.34,11.3,994.91,13.74,133.15
9,81.78,18.78,1008.83,21.51,196.25
6,66.76,28.46,990.12,28.34,202.48
5,87.75,18.49,1001.36,33.97,200.44
9,38.74,25.98,1023.87,29.45,135.94
5,38.42,32.59,1009.03,8.36,108.29
7,94.38,33.74,1021.87,19.83,188.7
12,42.4,22.62,1024.22,14.11,118.05
4,36.77,27.47,998.04,24.24,135.51
9,60.37,12.8,1016.95,6.27,136.69
3,57.48,23.65,1017.11,22.09,150.69
4,33.1,29.4,1014.11,27.77,117.77
2,62.76,13.13,996.21,11.76,144.99
8,38.13,15.19,1010.14,10.94,118.88
2,59.77,30.51,1016.35,18.2,161.81
12,57.47,29.64,998.48,34.83,165.56
5,35.35,23.18,1010.04,17.18,144.27
1,49.75,29.78,1017.32,27.66,165.75
10,91.96,15.65,1007.55,13.53,165.72
9,32.54,28.34,1021.81,3.22,123.98
3,88.0,19.01,1003.61,29.26,179.35
10,48.73,34.41,996.79,7.59,109.11
9,34.4,38.74,1016.21,27.3,109.5
11,51.64,13.23,1003.39,8.59,123.94
5,80.59,18.46,999.69,34.36,193.14
4,69.19,17.29,1014.61,28.75,153.8
11,43.67,24.33,1006.07,25.91,130.81
5,88.84,14.08,997.39,33.64,205.55
12,33.97,35.48,1026.38,16.47,80.27
7,56.65,39.29,994.06,23.83,124.1
7,82.05,26.72,994.66,18.1,176.13
2,47.31,18.08,1026.73,29.44,139.75
1,70.13,14.84,1029.72,31.93,134.5
10,32.33,12.1,998.05,21.07,90.39
7,44.42,33.31,993.62,13.13,142.41
9,41.21,14.45,1006.19,20.87,139.16
2,42.9,28.02,1001.26,22.22,136.97
8,59.76,34.58,1003.37,32.8,146.16
6,72.07,38.61,991.97,20.52,141.78
5,32.17,36.01,1015.29,18.87,76.47
9,52.15,10.04,1029.96,32.37,94.01
4,48.13,12.65,1008.66,14.27,141.59
1,80.0,39.72,1016.14,5.83,167.34
7,41.04,19.7,1003.05,17.2,124.31
10,77.76,10.14,1009.04,15.42,143.9
3,46.25,36.6,995.06,21.78,124.98
5,80.45,28.68,1019.76,8.49,182.35
10,55.99,36.11,1016.42,30.23,123.38
1,57.56,21.47,1016.21,14.31,122.89
10,35.76,13.06,1022.81,7.29,99.68
3,38.56,41.62,1024.44,23.11,86.3
3,86.52,26.75,1026.36,33.62,189.04
12,84.94,14.77,1029.4,3.32,164.04
8,89.91,41.91,1026.89,8.41,140.19
9,55.9,25.49,999.9,28.56,174.55
8,78.68,16.66,994.12,11.01,182.72
5,39.56,38.72,1008.87,3.19,110.92
10,70.93,16.88,995.31,11.18,177.55
2,32.03,24.18,1023.92,15.92,125.51
12,84.35,34.98,1015.37,17.15,170.2
4,82.06,40.94,1010.39,23.27,150.3
3,83.78,23.86,1023.12,14.67,184.31
9,39.6,20.06,1026.5,26.4,121.65
12,85.09,16.84,1025.17,32.19,193.13
10,42.25,16.31,1011.88,22.24,97.49
7,30.2,36.23,1015.57,30.41,110.75
9,94.28,23.78,1013.17,31.43,227.72
5,48.1,22.14,1003.09,7.56,131.48
4,73.63,25.08,1021.84,5.91,169.73
9,85.87,28.58,1018.53,13.12,185.08
1,58.17,40.48,992.52,17.29,128.65
5,81.93,29.78,998.6,6.56,173.71
5,91.14,40.57,1013.74,30.38,188.38
3,64.46,14.53,1019.74,22.18,142.11
2,72.74,20.41,1002.59,3.82,158.57
3,42.6,28.27,1000.68,8.3,133.32
2,88.52,12.64,1008.27,11.69,205.48
5,63.98,41.66,1007.58,8.02,133.21
7,55.7,21.55,991.44,19.6,174.87
9,48.3,12.35,1015.16,24.19,140.07
12,67.08,26.89,997.9,32.29,184.21
11,82.12,19.75,1026.84,10.03,159.88
9,61.22,24.31,998.03,20.7,183.2
2,75.94,21.93,1008.41,27.07,192.44
2,60.21,11.31,1005.98,27.59,137.94
8,58.85,33.11,1019.17,12.56,142.43
9,79.86,27.91,1017.05,11.42,184.05
